module,function,timing,time
[RLC],generate_tx_pdu,start,5355422599 
[RLC],serialize_sdu,start,5355422602 
[RLC],serialize_sdu,end,5355422622 
[RLC],generate_tx_pdu,end,5355422625 
[RLC],nr_rlc_entity_am_generate_pdu,start,5355422627 
[RLC],nr_rlc_entity_am_generate_pdu,end,5355422645 
[RLC],generate_tx_pdu,start,5355422648 
[RLC],serialize_sdu,start,5355422650 
[RLC],serialize_sdu,end,5355422653 
[RLC],generate_tx_pdu,end,5355422655 
[RLC],nr_rlc_entity_am_generate_pdu,start,5355422658 
[RLC],nr_rlc_entity_am_generate_pdu,end,5355422660 
[RLC],generate_tx_pdu,start,5355422662 
[RLC],serialize_sdu,start,5355422664 
[RLC],serialize_sdu,end,5355422668 
[RLC],generate_tx_pdu,end,5355422669 
[RLC],nr_rlc_entity_am_generate_pdu,start,5355422672 
[RLC],nr_rlc_entity_am_generate_pdu,end,5355422675 
[RLC],generate_tx_pdu,start,5355422678 
[RLC],serialize_sdu,start,5355422681 
[RLC],serialize_sdu,end,5355422684 
[RLC],generate_tx_pdu,end,5355422687 
[RLC],nr_rlc_entity_am_generate_pdu,start,5355422785 
[RLC],nr_rlc_entity_am_generate_pdu,end,5355422788 
[RLC],generate_tx_pdu,start,5355422790 
[RLC],serialize_sdu,start,5355422792 
[RLC],serialize_sdu,end,5355422795 
[RLC],generate_tx_pdu,end,5355422797 
[SDAP],sdap_data_req,start,5355590159 
[SDAP],nr_sdap_tx_entity,start,5355590200 
[PDCP],nr_pdcp_data_req_drb,start,5355590205 
[PDCP],deliver_pdu_drb_gnb,start,5355590340 
[PDCP],enqueue_rlc_data_req,start,5355590349 
[PDCP],enqueue_rlc_data_req,end,5355590354 
[PDCP],deliver_pdu_drb_gnb,end,5355590356 
[PDCP],nr_pdcp_data_req_drb,end,5355590358 
[SDAP],nr_sdap_tx_entity,end,5355590360 
[SDAP],sdap_data_req,end,5355590362 
[RLC],nr_rlc_entity_am_recv_sdu,start,5355590370 
[SDAP],sdap_data_req,start,5355590382 
[RLC],nr_rlc_entity_am_recv_sdu,end,5355590394 
[SDAP],nr_sdap_tx_entity,start,5355590397 
[PDCP],nr_pdcp_data_req_drb,start,5355590403 
[PDCP],deliver_pdu_drb_gnb,start,5355590406 
[PDCP],enqueue_rlc_data_req,start,5355590409 
[PDCP],enqueue_rlc_data_req,end,5355590411 
[PDCP],deliver_pdu_drb_gnb,end,5355590413 
[RLC],nr_rlc_entity_am_recv_sdu,start,5355590431 
[PDCP],nr_pdcp_data_req_drb,end,5355590451 
[RLC],nr_rlc_entity_am_recv_sdu,end,5355590456 
[SDAP],nr_sdap_tx_entity,end,5355590458 
[SDAP],sdap_data_req,end,5355590463 
[SDAP],sdap_data_req,start,5355590470 
[SDAP],nr_sdap_tx_entity,start,5355590476 
[PDCP],nr_pdcp_data_req_drb,start,5355590479 
