count,time,size
1,0.0020837783813476562,64
2,0.0018510818481445312,128
3,0.0018718242645263672,192
4,0.002040863037109375,256
5,0.002187490463256836,320
6,0.0015838146209716797,384
7,0.0022983551025390625,448
8,0.002065420150756836,512
9,0.002195119857788086,576
10,0.001749277114868164,640
11,0.0021224021911621094,704
12,0.002016305923461914,768
13,0.0020678043365478516,832
14,0.0021276473999023438,896
15,0.0016603469848632812,960
16,0.002389192581176758,1024
17,0.0019185543060302734,64
18,0.002202749252319336,128
19,0.0016126632690429688,192
20,0.002225637435913086,256
21,0.002112150192260742,320
22,0.0021500587463378906,384
23,0.0021970272064208984,448
24,0.002203702926635742,512
25,0.0022547245025634766,576
26,0.001802682876586914,640
27,0.0016753673553466797,704
28,0.0018339157104492188,768
29,0.002451181411743164,832
30,0.0020003318786621094,896
31,0.0022890567779541016,960
32,0.002460002899169922,1024
33,0.002153635025024414,64
34,0.0021746158599853516,128
35,0.0021889209747314453,192
36,0.0019714832305908203,256
37,0.0017848014831542969,320
38,0.0017049312591552734,384
39,0.0017104148864746094,448
40,0.0018541812896728516,512
41,0.0019304752349853516,576
42,0.0018606185913085938,640
43,0.001960277557373047,704
44,0.002171039581298828,768
45,0.0018687248229980469,832
46,0.0023031234741210938,896
47,0.0019855499267578125,960
48,0.0018908977508544922,1024
49,0.0016868114471435547,64
50,0.002186298370361328,128
51,0.001917123794555664,192
52,0.0016238689422607422,256
53,0.002145051956176758,320
54,0.0017504692077636719,384
55,0.001668691635131836,448
56,0.002025604248046875,512
57,0.002179384231567383,576
58,0.0020074844360351562,640
59,0.0019960403442382812,704
60,0.0019218921661376953,768
61,0.001901388168334961,832
62,0.002183675765991211,896
63,0.0021028518676757812,960
64,0.0017740726470947266,1024
65,0.0015807151794433594,64
66,0.0019872188568115234,128
67,0.0020208358764648438,192
68,0.0018701553344726562,256
69,0.0017976760864257812,320
70,0.001895904541015625,384
71,0.0022995471954345703,448
72,0.0018422603607177734,512
73,0.002067089080810547,576
74,0.0019276142120361328,640
75,0.002256631851196289,704
76,0.0017864704132080078,768
77,0.00211334228515625,832
78,0.002064228057861328,896
79,0.0019805431365966797,960
80,0.0020236968994140625,1024
81,0.002012968063354492,64
82,0.0019812583923339844,128
83,0.0019195079803466797,192
84,0.0018274784088134766,256
85,0.002044677734375,320
86,0.0019502639770507812,384
87,0.0016503334045410156,448
88,0.002232074737548828,512
89,0.002288818359375,576
90,0.0020990371704101562,640
91,0.002070903778076172,704
92,0.002528667449951172,768
93,0.002292633056640625,832
94,0.0024535655975341797,896
95,0.001901865005493164,960
96,0.0021114349365234375,1024
97,0.001856088638305664,64
98,0.001991748809814453,128
99,0.002238750457763672,192
