module,function,timing,time
[RLC],nr_rlc_entity_am_recv_sdu,start,159948197 
[RLC],nr_rlc_entity_am_recv_sdu,end,159948206 
[RLC],rlc_data_req,end,159948212 
[RLC],rlc_data_req_thread,end,159948218 
[RLC],nr_rlc_entity_am_generate_pdu,start,159948301 
[RLC],nr_rlc_entity_am_generate_pdu,end,159948327 
[RLC],generate_tx_pdu,start,159948334 
[RLC],serialize_sdu,start,159948341 
[RLC],serialize_sdu,end,159948409 
[RLC],generate_tx_pdu,end,159948414 
[SDAP],sdap_data_req,start,160126877 
[SDAP],nr_sdap_tx_entity,start,160127048 
[PDCP],nr_pdcp_data_req_drb,start,160127066 
[PDCP],deliver_pdu_drb_gnb,start,160127074 
[PDCP],enqueue_rlc_data_req,start,160127083 
[PDCP],enqueue_rlc_data_req,end,160127099 
[PDCP],deliver_pdu_drb_gnb,end,160127105 
[PDCP],nr_pdcp_data_req_drb,end,160127251 
[SDAP],nr_sdap_tx_entity,end,160127264 
[SDAP],sdap_data_req,end,160127271 
[RLC],rlc_data_req_thread,start,160127553 
[RLC],rlc_data_req,start,160127570 
[RLC],nr_rlc_entity_am_recv_sdu,start,160127823 
[RLC],nr_rlc_entity_am_recv_sdu,end,160127832 
[RLC],rlc_data_req,end,160127839 
[RLC],rlc_data_req_thread,end,160127845 
[RLC],nr_rlc_entity_am_generate_pdu,start,160127910 
[RLC],nr_rlc_entity_am_generate_pdu,end,160127925 
[RLC],generate_tx_pdu,start,160127931 
[RLC],serialize_sdu,start,160127955 
[RLC],serialize_sdu,end,160127961 
[RLC],generate_tx_pdu,end,160127967 
[SDAP],sdap_data_req,start,160304374 
[SDAP],nr_sdap_tx_entity,start,160304572 
[PDCP],nr_pdcp_data_req_drb,start,160304589 
[PDCP],deliver_pdu_drb_gnb,start,160304598 
[PDCP],enqueue_rlc_data_req,start,160304606 
[PDCP],enqueue_rlc_data_req,end,160304727 
[PDCP],deliver_pdu_drb_gnb,end,160304792 
[PDCP],nr_pdcp_data_req_drb,end,160304800 
[SDAP],nr_sdap_tx_entity,end,160304806 
[SDAP],sdap_data_req,end,160304812 
[RLC],rlc_data_req_thread,start,160304831 
[RLC],rlc_data_req,start,160304875 
[RLC],nr_rlc_entity_am_recv_sdu,start,160304885 
[RLC],nr_rlc_entity_am_recv_sdu,end,160304892 
[RLC],rlc_data_req,end,160304898 
[RLC],rlc_data_req_thread,end,160304904 
[RLC],nr_rlc_entity_am_generate_pdu,start,160305383 
[RLC],nr_rlc_entity_am_generate_pdu,end,160305400 
[RLC],generate_tx_pdu,start,160305407 
[RLC],serialize_sdu,start,160305429 
[RLC],serialize_sdu,end,160305435 
[RLC],generate_tx_pdu,end,160305441 
[SDAP],sdap_data_req,start,160483777 
[SDAP],nr_sdap_tx_entity,start,160483948 
[PDCP],nr_pdcp_data_req_drb,start,160484011 
[PDCP],deliver_pdu_drb_gnb,start,160484153 
[PDCP],enqueue_rlc_data_req,start,160484163 
[PDCP],enqueue_rlc_data_req,end,160484215 
[PDCP],deliver_pdu_drb_gnb,end,160484227 
[RLC],rlc_data_req_thread,start,160484220 
[PDCP],nr_pdcp_data_req_drb,end,160484258 
[SDAP],nr_sdap_tx_entity,end,160484288 
[SDAP],sdap_data_req,end,160484295 
[RLC],rlc_data_req,start,160484274 
[RLC],nr_rlc_entity_am_recv_sdu,start,160484426 
[RLC],nr_rlc_entity_am_recv_sdu,end,160484434 
[RLC],rlc_data_req,end,160484441 
[RLC],rlc_data_req_thread,end,160484447 
[RLC],nr_rlc_entity_am_generate_pdu,start,160484507 
[RLC],nr_rlc_entity_am_generate_pdu,end,160484523 
[RLC],generate_tx_pdu,start,160484530 
[RLC],serialize_sdu,start,160484537 
[RLC],serialize_sdu,end,160484544 
[RLC],generate_tx_pdu,end,160484574 
[SDAP],sdap_data_req,start,160661165 
[SDAP],nr_sdap_tx_entity,start,160661374 
[PDCP],nr_pdcp_data_req_drb,start,160661391 
[PDCP],deliver_pdu_drb_gnb,start,160661398 
[PDCP],enqueue_rlc_data_req,start,160661408 
[PDCP],enqueue_rlc_data_req,end,160661489 
[PDCP],deliver_pdu_drb_gnb,end,160661504 
[RLC],rlc_data_req_thread,start,160661494 
[PDCP],nr_pdcp_data_req_drb,end,160661589 
[RLC],rlc_data_req,start,160661599 
[SDAP],nr_sdap_tx_entity,end,160661615 
[SDAP],sdap_data_req,end,160661636 
[RLC],nr_rlc_entity_am_recv_sdu,start,160661742 
[RLC],nr_rlc_entity_am_recv_sdu,end,160661791 
[RLC],rlc_data_req,end,160661797 
[RLC],rlc_data_req_thread,end,160661803 
[RLC],nr_rlc_entity_am_generate_pdu,start,160662091 
